heightmap_id,category,terrace_steps,steps_4,steps_6,steps_8,steps_10,steps_12,steps_16,gamma,edge_sigma,morph_strength,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,2.000000,1.500000,2.000000,4.116788,0.813928,0.157621,0.980268,2.806074,0.502461,0.161908,5.405410,0.005941
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,2.000000,4.500000,0.500000,6.536229,0.584237,0.091282,0.978055,2.864768,0.269628,0.193165,6.000000,0.011624
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,0.500000,0.500000,0.500000,18.512066,0.892523,0.588646,0.937471,0.882036,0.760943,0.191716,2.430042,0.009342
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,0.500000,3.000000,2.000000,1.594627,0.892566,0.438731,0.990183,0.801237,0.885155,0.141036,2.461292,0.002910
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,0.500000,4.500000,2.000000,1.200085,0.864268,0.305198,0.991809,0.653765,0.873910,0.134088,2.461292,0.003082
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,0.500000,0.500000,2.000000,4.865373,0.968197,0.729101,0.973486,0.470334,0.900443,0.150029,1.479786,0.002564
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,1.000000,1.500000,0.500000,12.395476,0.751151,0.341695,0.966913,3.039904,0.585511,0.216727,6.000000,0.011304
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,1.000000,4.500000,2.000000,1.653804,0.847338,0.361383,0.984917,1.243524,0.703674,0.116434,3.994032,0.003766
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,1.500000,0.500000,1.500000,10.981667,0.928766,0.607881,0.961734,0.938504,0.604471,0.189298,2.852793,0.005751
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,1.500000,1.500000,2.000000,4.520363,0.891828,0.513899,0.978472,2.003817,0.638223,0.161199,4.558771,0.004531
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,1.500000,3.000000,1.000000,5.718720,0.707027,0.196376,0.984244,2.855098,0.520275,0.213727,6.000000,0.009103
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,2.000000,1.500000,2.000000,4.895470,0.884565,0.410786,0.981190,2.123023,0.572452,0.181585,4.707647,0.004820
Bark__bark 13_height,Bark,4,1,0,0,0,0,0,2.000000,4.500000,0.500000,7.132929,0.582010,0.140304,0.984478,2.761276,0.376524,0.241098,6.000000,0.012438
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,0.500000,0.500000,0.500000,9.562259,0.866816,0.508283,0.949490,0.768468,0.754193,0.155222,3.194923,0.008115
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,0.500000,3.000000,2.000000,0.934030,0.888439,0.563541,0.981639,0.593262,0.840387,0.077912,2.461292,0.002513
